Unnamed: 0,Year,Quarter,Month,Day,Aircraft Manufacturer,Aircraft,Location,Operator,Ground,Fatalities (air),Aboard,Country,Date,Weekday
0,1908,Qtr 3,September,17,Wright,Wright Flyer III?,Fort Myer Virginia,Army U.S. - Military,0,1,2,USA,1908-09-17,Thursday
1,1909,Qtr 3,September,7,Wright,Wright ByplaneSC1,Juvisy-sur-Orge France?,Unknown,0,1,1,France,1909-09-07,Tuesday
2,1912,Qtr 3,July,12,Unknown,Dirigible?,Atlantic City New,Navy U.S. - JerseyMilitary,0,5,5,New Zealand,1912-07-12,Friday
3,1913,Qtr 3,August,6,Curtiss,Curtiss seaplane?,Victoria British,Canada          Columbia Private,0,1,1,UK,1913-08-06,Wednesday
4,1913,Qtr 3,September,9,Zeppelin,Zeppelin L 1 (airship)?,Over the North SeaMilitary - German Navy,Unknown,0,14,20,UK,1913-09-09,Tuesday
5,1913,Qtr 4,October,17,Zeppelin,Zeppelin L 2 (airship)?,Near Johannisthal Germany,Navy German - Military,0,28,28,Germany,1913-10-17,Friday
6,1915,Qtr 1,March,5,Zeppelin,Zeppelin L 8 (airship)?,Tienen Belgium,Navy German - Military,0,17,41,Belgium,1915-03-05,Friday
7,1915,Qtr 3,September,3,Zeppelin,Zeppelin L 10 (airship)?,Off Cuxhaven Germany,Navy German - Military,0,19,19,Germany,1915-09-03,Friday
8,1916,Qtr 3,July,28,Unknown,Schutte  Lanz S,Near Jambol Bulgeria,Army German - Military,0,20,20,Bulgaria,1916-07-28,Friday
9,1916,Qtr 3,September,24,Zeppelin,Zeppelin L 32 (airship)?,Billericay England,Navy German - Military,0,22,22,UK,1916-09-24,Sunday
10,1916,Qtr 4,October,1,Zeppelin,Zeppelin L 31 (airship)?,Potters Bar England,Navy German - Military,0,19,19,UK,1916-10-01,Sunday
11,1916,Qtr 4,November,21,Zeppelin,Super Zeppelin (airship)?,Mainz Germany,Army German - Military,0,27,28,Germany,1916-11-21,Tuesday
12,1916,Qtr 4,November,28,Zeppelin,Zeppelin L 34 (airship)?,Off West Hartlepool England,Navy German - Military,0,20,20,UK,1916-11-28,Tuesday
13,1917,Qtr 1,March,4,Royal Airship Works,Airship?,Near Gent Belgium,Army German - Military,0,20,20,Belgium,1917-03-04,Sunday
14,1917,Qtr 1,March,30,Unknown,Schutte  Lanz S,Off Northern GermanyMilitary - German Navy,Unknown,0,23,23,Germany,1917-03-30,Friday
15,1917,Qtr 2,May,14,Zeppelin,Zeppelin L 22 (airship)?,Near Texel Island North,Navy German - SeaMilitary,0,21,21,Netherlands,1917-05-14,Monday
16,1917,Qtr 2,June,14,Zeppelin,Zeppelin L 43 (airship)?,Off Vlieland Island North,Navy German - SeaMilitary,0,24,24,Netherlands,1917-06-14,Thursday
17,1917,Qtr 2,June,17,Zeppelin,Zepplin L 48 (air ship)L,Near Yarmouth England?,Unknown,0,14,16,UK,1917-06-17,Sunday
18,1917,Qtr 3,August,21,Zeppelin,Zeppelin L 23 (airship)?,Off western DenmarkMilitary - German Navy,Unknown,0,18,18,Germany,1917-08-21,Tuesday
19,1917,Qtr 4,October,20,Zeppelin,Zeppelin L 44 (airship)?,Near Luneville France,Navy German - Military,0,18,18,France,1917-10-20,Saturday
20,1918,Qtr 2,April,7,Zeppelin,Zeppelin L 59 (airship)?,Over the MediterraneanMilitary - German Navy,Unknown,0,23,23,Germany,1918-04-07,Sunday
21,1918,Qtr 3,August,5,Zeppelin,Zeppelin L 70 (airship)?,Off Helgoland Island Germany,Navy German - Military,0,22,22,Germany,1918-08-05,Monday
22,1918,Qtr 3,August,11,Zeppelin,Zeppelin L 53 (airship)?,Ameland Island North,Navy German - SeaMilitary,0,19,19,Netherlands,1918-08-11,Sunday
23,1918,Qtr 4,December,16,De Havilland,De Havilland DH 497,Elizabeth New,Service Mail Aerial JerseyUS,0,1,1,New Zealand,1918-12-16,Monday
24,1919,Qtr 2,May,25,De Havilland,De Havilland DH 461,Cleveland Ohio,Service Mail Aerial US,0,1,1,USA,1919-05-25,Sunday
25,1919,Qtr 3,July,19,De Havilland,De Havilland DH 482,Dix Run Pennsylvania,Service Mail Aerial US,0,1,1,USA,1919-07-19,Saturday
26,1919,Qtr 3,July,21,Unknown,FD Type Dirigible?,Chicago Illinois,Tire Goodyear Express Air Wingfoot,10,3,0,USA,1919-07-21,Monday
27,1919,Qtr 3,August,2,Caproni,Caproni Ca.48?,Verona Italy,Company Caproni,0,14,14,Italy,1919-08-02,Saturday
28,1919,Qtr 4,October,2,De Havilland,De Havilland DH 4?,Newcastle England,Travel and Transport Aircraft,0,1,1,UK,1919-10-02,Thursday
29,1919,Qtr 4,October,14,Curtiss,Curtiss R 4LM32,Cantonsville Maryland,Service Mail Aerial US,0,1,1,USA,1919-10-14,Tuesday
30,1919,Qtr 4,October,20,De Havilland,De Havilland DH 4G,English Channel off Forkstone Kent,Travel and Transport Aircraft,0,0,0,UK,1919-10-20,Monday
31,1919,Qtr 4,October,30,De Havilland,De Havilland DH.477,Long Valley New,Service Mail Aerial JerseyUS,0,1,1,New Zealand,1919-10-30,Thursday
32,1919,Qtr 4,December,11,De Havilland,De Havilland DH 4G,Catherham Surrey,UKAircraft Travel Transport,0,1,1,UK,1919-12-11,Thursday
33,1920,Qtr 1,March,10,De Havilland,De Havilland DH 465,New Paris Indiana,Service Mail Aerial US,0,1,1,USA,1920-03-10,Wednesday
34,1920,Qtr 1,March,30,De Havilland,De Havilland DH 472,Newark New,Service Mail Aerial JerseyUS,0,1,1,New Zealand,1920-03-30,Tuesday
35,1920,Qtr 2,April,10,Curtiss,Curtiss R 4LM49,Newark New,Service Mail Aerial JerseyUS,0,1,2,New Zealand,1920-04-10,Saturday
36,1920,Qtr 2,April,11,Curtiss,Curtiss JN 4H44,Heller Field New,Service Mail Aerial JerseyUS,0,1,2,New Zealand,1920-04-11,Sunday
37,1920,Qtr 2,May,12,De Havilland,De Havilland DH 479,Oskaloosa Iowa,Service Mail Aerial US,0,1,2,USA,1920-05-12,Wednesday
38,1920,Qtr 2,June,6,De Havilland,De Havilland DH 4204,Cleveland Ohio,Service Mail Aerial US,0,1,1,USA,1920-06-06,Sunday
39,1920,Qtr 3,July,20,Farman,Farman F 40?,Cartagena Columbia,Aérea Navegación de Colombiana Compañia,0,1,1,Colombia,1920-07-20,Tuesday
