Entity,Code,Year,Passengers
World,OWID_WRL,1945,9000000
World,OWID_WRL,1946,18000000
World,OWID_WRL,1947,21000000
World,OWID_WRL,1948,24000000
World,OWID_WRL,1949,27000000
World,OWID_WRL,1950,31000000
World,OWID_WRL,1951,42000000
World,OWID_WRL,1952,46000000
World,OWID_WRL,1953,53000000
World,OWID_WRL,1954,59000000
World,OWID_WRL,1955,68000000
World,OWID_WRL,1956,77000000
World,OWID_WRL,1957,86000000
World,OWID_WRL,1958,88000000
World,OWID_WRL,1959,98000000
World,OWID_WRL,1960,106000000
World,OWID_WRL,1961,111000000
World,OWID_WRL,1962,121000000
World,OWID_WRL,1963,135000000
World,OWID_WRL,1964,155000000
World,OWID_WRL,1965,177000000
World,OWID_WRL,1966,200000000
World,OWID_WRL,1967,233000000
World,OWID_WRL,1968,260277000
World,OWID_WRL,1969,293230000
World,OWID_WRL,1970,382954000
World,OWID_WRL,1971,410919000
World,OWID_WRL,1972,450136000
World,OWID_WRL,1973,488514000
World,OWID_WRL,1974,514496000
World,OWID_WRL,1975,534024000
World,OWID_WRL,1976,576421000
World,OWID_WRL,1977,610322000
World,OWID_WRL,1978,678645000
World,OWID_WRL,1979,754117000
World,OWID_WRL,1980,748288000
World,OWID_WRL,1981,752271000
World,OWID_WRL,1982,765806000
World,OWID_WRL,1983,797810000
World,OWID_WRL,1984,847931000
World,OWID_WRL,1985,899218000
World,OWID_WRL,1986,960012000
World,OWID_WRL,1987,1027856000
World,OWID_WRL,1988,1082474000
World,OWID_WRL,1989,1109478000
World,OWID_WRL,1990,1165156000
World,OWID_WRL,1991,1135185000
World,OWID_WRL,1992,1145553000
World,OWID_WRL,1993,1142382000
World,OWID_WRL,1994,1233341000
World,OWID_WRL,1995,1303645000
World,OWID_WRL,1996,1391085000
World,OWID_WRL,1997,1456690000
World,OWID_WRL,1998,1471470000
World,OWID_WRL,1999,1562324000
World,OWID_WRL,2000,1774388417.916
World,OWID_WRL,2001,1740675037.975
World,OWID_WRL,2002,1738934362.937
World,OWID_WRL,2003,1794580262.551
World,OWID_WRL,2004,2002751573.007
World,OWID_WRL,2005,2144946934.691
World,OWID_WRL,2006,2263250105.76
World,OWID_WRL,2007,2461986320.262
World,OWID_WRL,2008,2500044331.773
World,OWID_WRL,2009,2488281562.028
World,OWID_WRL,2010,2707866526.709
World,OWID_WRL,2011,2883000000
World,OWID_WRL,2012,3013000000
World,OWID_WRL,2013,3148000000
World,OWID_WRL,2014,3327000000
World,OWID_WRL,2015,3567000000
World,OWID_WRL,2016,3806000000
World,OWID_WRL,2017,4075000000
World,OWID_WRL,2018,4341000000
World,OWID_WRL,2019,4490000000
World,OWID_WRL,2020,1782000000
World,OWID_WRL,2021,2284000000
